"DAMAGE:0","DAMAGE:1","DAMAGE:2","sigma:0","sigma:1","sigma:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,0,0,0.5,0.000841,0
0.0011805,7.1387e-06,0,410.24,1071.6,0.023591,1,0.00099832,0.5,0.0018393,0
0.0011805,1.1013e-05,0,410.82,1071.8,-0.10921,1,0.0019966,0.5,0.0028376,0
0.0011805,1.4888e-05,0,410.85,1071.8,-0.11862,1,0.002995,0.5,0.003836,0
0.0011805,1.8763e-05,0,410.85,1071.8,-0.11862,1,0.0039933,0.5,0.0048343,0
0.0011805,2.2638e-05,0,410.85,1071.8,-0.11862,1,0.0049916,0.5,0.0058326,0
0.0011805,2.6513e-05,0,410.85,1071.8,-0.11862,1,0.0059899,0.5,0.0068309,0
0.0011805,3.0389e-05,0,410.83,1071.8,-0.11244,1,0.0069882,0.5,0.0078292,0
0.0011805,3.4265e-05,0,410.81,1071.7,-0.10206,1,0.0079865,0.5,0.0088275,0
0.0011805,3.8138e-05,0,410.79,1071.7,-0.091683,1,0.0089849,0.5,0.0098259,0
0.0011805,4.2012e-05,0,410.78,1071.7,-0.089132,1,0.0099832,0.5,0.010824,0
0.0011805,4.5886e-05,0,410.75,1071.6,-0.10155,1,0.010981,0.5,0.011822,0
0.0011805,4.9754e-05,0,410.55,1070.9,-0.19864,1,0.01198,0.5,0.012821,0
0.0011805,5.3623e-05,0,410.35,1070.1,-0.29572,1,0.012978,0.5,0.013819,0
0.0011805,5.7492e-05,0,410.15,1069.4,-0.39279,1,0.013976,0.5,0.014817,0
0.0011805,6.1358e-05,0,410.1,1069.2,-0.4178,1,0.014975,0.5,0.015816,0
0.0011805,6.5223e-05,0,410.1,1069.2,-0.4178,1,0.015973,0.5,0.016814,0
0.0011805,6.9092e-05,0,410.22,1069.4,-0.47605,1,0.016971,0.5,0.017812,0
0.0011805,7.2961e-05,0,410.36,1069.7,-0.54502,1,0.01797,0.5,0.018811,0
0.0011805,7.683e-05,0,410.5,1069.9,-0.61399,1,0.018968,0.5,0.019809,0
0.0011805,8.0699e-05,0,410.64,1070.2,-0.68296,1,0.019966,0.5,0.020807,0
0.0011805,8.4567e-05,0,410.69,1070.1,-0.73236,1,0.020965,0.5,0.021806,0
0.0011805,8.8427e-05,0,410.25,1068.6,-0.73037,1,0.021963,0.5,0.022804,0
0.0011806,9.2286e-05,0,409.81,1067.1,-0.72838,1,0.022961,0.5,0.023802,0
0.0011806,9.6145e-05,0,409.42,1065.7,-0.72659,1,0.02396,0.5,0.024801,0
0.0011806,9.9994e-05,0,409.42,1065.7,-0.72659,1,0.024958,0.5,0.025799,0
0.0011806,0.00010384,0,409.42,1065.7,-0.72659,1,0.025956,0.5,0.026797,0
0.0011806,0.00010769,0,409.42,1065.7,-0.72659,1,0.026955,0.5,0.027796,0
0.0011806,0.00011154,0,409.42,1065.7,-0.72659,1,0.027953,0.5,0.028794,0
0.0011806,0.0001154,0,409.52,1065.6,-0.665,1,0.028951,0.5,0.029792,0
0.0011806,0.00011926,0,409.76,1065.4,-0.37698,1,0.02995,0.5,0.030791,0
0.0011806,0.00012311,0,409.94,1065.1,-0.1777,1,0.030948,0.5,0.031789,0
0.0011806,0.00012694,0,409.73,1063.9,-0.66854,1,0.031946,0.5,0.032787,0
0.0011807,0.00013077,0,409.54,1062.8,-1.0436,1,0.032944,0.5,0.033785,0
0.0011807,0.00013461,0,409.47,1062.3,-1.051,1,0.033943,0.5,0.034784,0
0.0011807,0.00013845,0,409.47,1062.3,-1.051,1,0.034941,0.5,0.035782,0
0.0011807,0.00014228,0,409.47,1062.3,-1.051,1,0.035939,0.5,0.03678,0
0.0011807,0.00014612,0,409.47,1062.3,-1.051,1,0.036938,0.5,0.037779,0
0.0011807,0.00014996,0,409.49,1062.3,-1.0566,1,0.037936,0.5,0.038777,0
0.0011807,0.00015379,0,409.58,1062.3,-1.088,1,0.038934,0.5,0.039775,0
0.0011807,0.00015763,0,409.68,1062.4,-1.1194,1,0.039933,0.5,0.040774,0
0.0011807,0.00016147,0,409.47,1061.6,-0.96029,1,0.040931,0.5,0.041772,0
0.0011807,0.00016529,0,408.67,1059.1,-0.898,1,0.041929,0.5,0.04277,0
0.0011807,0.00016911,0,407.78,1056.4,-0.69414,1,0.042928,0.5,0.043769,0
0.0011808,0.00017293,0,407.45,1055.4,-0.61852,1,0.043926,0.5,0.044767,0
0.0011808,0.00017674,0,407.45,1055.4,-0.61852,1,0.044924,0.5,0.045765,0
0.0011808,0.00018055,0,407.62,1055.7,-0.37766,1,0.045923,0.5,0.046764,0
0.0011808,0.00018437,0,407.92,1056.2,0.062737,1,0.046921,0.5,0.047762,0
0.0011808,0.0001882,0,408.75,1057.6,0.73237,1,0.047919,0.5,0.04876,0
0.0011809,0.00019201,0,409.23,1058,0.95644,1,0.048918,0.5,0.049759,0
0.0011809,0.00019581,0,408.94,1056.5,0.45352,1,0.049916,0.5,0.050757,0
0.0011809,0.00019961,0,407.97,1053.9,0.35567,1,0.050914,0.5,0.051755,0
0.0011809,0.00020341,0,407.89,1053.5,-0.027505,1,0.051913,0.5,0.052754,0
0.001181,0.0002072,0,408.28,1054.2,-0.62295,1,0.052911,0.5,0.053752,0
0.001181,0.000211,0,408.37,1054.3,-0.76709,1,0.053909,0.5,0.05475,0
0.001181,0.00021481,0,408.37,1054.3,-0.76709,1,0.054907,0.5,0.055748,0
0.0011811,0.0002186,0,407.62,1051.8,-0.51597,1,0.055906,0.5,0.056747,0
0.0011811,0.00022238,0,406.73,1048.8,-0.21504,1,0.056904,0.5,0.057745,0
0.0011811,0.00022617,0,406.15,1046.4,0.11778,1,0.057902,0.5,0.058743,0
0.0011811,0.00022994,0,406.93,1047.2,0.44464,1,0.058901,0.5,0.059742,0
0.0011812,0.00023372,0,407.72,1048,0.77149,1,0.059899,0.5,0.06074,0
0.0011812,0.0002375,0,408.51,1048.7,1.0983,1,0.060897,0.5,0.061738,0
0.0011812,0.00024128,0,408.86,1049.1,1.2418,1,0.061896,0.5,0.062737,0
0.0011812,0.00024506,0,408.86,1049.1,1.2418,1,0.062894,0.5,0.063735,0
0.0011813,0.00024882,0,407.53,1045.6,1.4953,1,0.063892,0.5,0.064733,0
0.0011813,0.00025258,0,405.79,1041.1,1.8289,1,0.064891,0.5,0.065732,0
0.0011813,0.00025634,0,404.53,1037.8,2.0695,1,0.065889,0.5,0.06673,0
0.0011814,0.00026008,0,404.53,1037.8,2.0695,1,0.066887,0.5,0.067728,0
0.0011814,0.00026381,0,404.48,1037.3,2.0645,1,0.067886,0.5,0.068727,0
0.0011814,0.00026755,0,404.39,1036.5,2.0559,1,0.068884,0.5,0.069725,0
0.0011814,0.00027128,0,404.3,1035.8,2.0475,1,0.069882,0.5,0.070723,0
0.0011815,0.00027502,0,404.28,1035.7,2.0567,1,0.070881,0.5,0.071722,0
0.0011815,0.00027875,0,404.19,1035.6,2.0898,1,0.071879,0.5,0.07272,0
0.0011815,0.00028248,0,404.11,1035.4,2.1229,1,0.072877,0.5,0.073718,0
0.0011816,0.00028621,0,404.03,1035.3,2.1532,1,0.073876,0.5,0.074717,0
0.0011816,0.00028994,0,404.03,1035.3,2.1532,1,0.074874,0.5,0.075715,0
0.0011816,0.00029366,0,404.9,1034.3,2.3845,1,0.075872,0.5,0.076713,0
0.0011817,0.00029738,0,405.78,1033.4,2.6191,1,0.07687,0.5,0.077711,0
0.0011817,0.0003011,0,406.4,1032.7,2.7844,1,0.077869,0.5,0.07871,0
0.0011818,0.00030481,0,406.4,1032.7,2.7844,1,0.078867,0.5,0.079708,0
0.0011818,0.00030851,0,405.15,1029.8,2.8809,1,0.079865,0.5,0.080706,0
0.0011819,0.0003122,0,402.87,1024.5,3.0583,1,0.080864,0.5,0.081705,0
